GEO_ID,,,B19083_001E,B19083_001M
id,County,State,Estimate!!Gini Index,Margin of Error!!Gini Index
01007,Bibb,Alabama,0.441,0.0475
01009,Blount,Alabama,0.4037,0.0145
01011,Bullock,Alabama,0.4648,0.0414
01013,Butler,Alabama,0.4506,0.0184
01015,Calhoun,Alabama,0.4464,0.0111
01017,Chambers,Alabama,0.4831,0.0356
01019,Cherokee,Alabama,0.4573,0.0243
01021,Chilton,Alabama,0.4462,0.0331
01023,Choctaw,Alabama,0.4849,0.019
01025,Clarke,Alabama,0.531,0.0279
01027,Clay,Alabama,0.4217,0.0193
01029,Cleburne,Alabama,0.4381,0.023
01031,Coffee,Alabama,0.4476,0.0155
01033,Colbert,Alabama,0.4432,0.0154
01035,Conecuh,Alabama,0.5014,0.032
01037,Coosa,Alabama,0.4207,0.0241
01039,Covington,Alabama,0.4613,0.0126
01041,Crenshaw,Alabama,0.4756,0.019
01043,Cullman,Alabama,0.4517,0.0138
01045,Dale,Alabama,0.4426,0.0169
01047,Dallas,Alabama,0.5255,0.0201
01049,DeKalb,Alabama,0.443,0.0175
01051,Elmore,Alabama,0.4204,0.0163
01053,Escambia,Alabama,0.4645,0.0198
01055,Etowah,Alabama,0.4363,0.0109
01057,Fayette,Alabama,0.459,0.0225
01059,Franklin,Alabama,0.439,0.0179
01061,Geneva,Alabama,0.4567,0.028
01063,Greene,Alabama,0.5138,0.0396
01065,Hale,Alabama,0.4868,0.0235
01067,Henry,Alabama,0.4536,0.0237
01069,Houston,Alabama,0.4815,0.0078
01071,Jackson,Alabama,0.4421,0.0136
01073,Jefferson,Alabama,0.4994,0.0056
01075,Lamar,Alabama,0.4808,0.0574
01077,Lauderdale,Alabama,0.4589,0.0128
01079,Lawrence,Alabama,0.4357,0.0185
01081,Lee,Alabama,0.4976,0.0124
01083,Limestone,Alabama,0.4604,0.0146
01085,Lowndes,Alabama,0.5464,0.0542
01087,Macon,Alabama,0.4664,0.0178
01089,Madison,Alabama,0.4676,0.0074
01091,Marengo,Alabama,0.5357,0.0398
01093,Marion,Alabama,0.4755,0.0219
01095,Marshall,Alabama,0.4744,0.0131
01097,Mobile,Alabama,0.4693,0.0072
01099,Monroe,Alabama,0.5194,0.0253
01101,Montgomery,Alabama,0.4819,0.0092
01103,Morgan,Alabama,0.4542,0.0137
01105,Perry,Alabama,0.515,0.031
01107,Pickens,Alabama,0.478,0.0222
01109,Pike,Alabama,0.4992,0.0204
01111,Randolph,Alabama,0.4515,0.0296
01113,Russell,Alabama,0.443,0.0177
01115,St,Alabama,0.426,0.0183
01117,Shelby,Alabama,0.4265,0.0118
01119,Sumter,Alabama,0.5068,0.0206
01121,Talladega,Alabama,0.4615,0.0161
01123,Tallapoosa,Alabama,0.4523,0.0172
01125,Tuscaloosa,Alabama,0.4671,0.0092
01127,Walker,Alabama,0.4594,0.0152
01129,Washington,Alabama,0.4245,0.0224
01131,Wilcox,Alabama,0.536,0.026
01133,Winston,Alabama,0.4552,0.0308
02013,Aleutians East,,0.3743,0.0177
02016,Aleutians West,,0.3711,0.0145
02020,Anchorage,,0.4225,0.0095
02050,Bethel,,0.4205,0.0141
02060,Bristol Bay,,0.3571,0.0465
02068,Denali,,0.3633,0.0416
02070,Dillingham,,0.4377,0.0187
02090,Fairbanks North Star,,0.4026,0.0145
02100,Haines,,0.4124,0.0426
02105,Hoonah-Angoon,,0.4063,0.0293
02110,Juneau City,,0.3878,0.0352
02122,Kenai Peninsula,,0.4226,0.0132
02130,Ketchikan Gateway,,0.411,0.0187
02150,Kodiak Island,,0.3988,0.0301
02158,Kusilvak,,0.4082,0.0142
02164,Lake and Peninsula,,0.4403,0.0294
02170,Matanuska-Sisitna,,0.3997,0.0075
02180,Nome,,0.4361,0.0137
02185,North Slope,,0.4047,0.027
02188,Northwest Arctic,,0.4067,0.015
02195,Petersburg,,0.4318,0.0258
02198,Prince of Wales-Hyder ,,0.427,0.0176
02220,Sitka City,,0.3876,0.0198
02230,Skagway ,,0.3282,0.0324
02240,Southeast Fairbanks,,0.3958,0.0223
02261,Valdez-Cordova,,0.4138,0.0318
02275,Wrangell City,,0.4135,0.0271
02282,Yakutat City,,0.3405,0.0266
02290,Yukon-Koyukuk,,0.4531,0.0104
04001,Apache,,0.4793,0.012
04003,Cochise,,0.4532,0.0101
04005,Coconino,,0.478,0.0159
04007,Gila,,0.4284,0.0166
04009,Graham,,0.4271,0.0168
04011,Greenlee,,0.3955,0.0244
04012,La Paz,,0.4147,0.0214
04013,Maricopa,,0.4645,0.0021
04015,Mohave,,0.4382,0.0106
04017,Navajo,,0.4766,0.0157
04019,Pima,,0.4726,0.0047
04021,Pinal,,0.4148,0.0087
04023,Santa,,0.4613,0.0215
04025,Yavapai,,0.4352,0.0082
04027,Yuma,,0.4398,0.0098
05001,Arkansas,,0.4816,0.0294
05003,Ashley,,0.4754,0.0322
05005,Baxter,,0.4574,0.0333
05007,Benton,,0.4442,0.0075
05009,Boone,,0.4482,0.0212
05011,Bradley,,0.4928,0.0375
05013,Calhoun,,0.4338,0.0283
05015,Carroll,,0.424,0.0232
05017,Chicot,,0.5403,0.0542
05019,Clark,,0.4856,0.0239
05021,Clay,,0.4427,0.0223
05023,Cleburne,,0.4717,0.0275
05025,Cleveland,,0.4387,0.0289
05027,Columbia,,0.4656,0.021
05029,Conway,,0.4685,0.0207
05031,Craighead,,0.4733,0.0181
05033,Crawford,,0.4437,0.0231
05035,Crittenden,,0.4533,0.0137
05037,Cross,,0.4568,0.0234
05039,Dallas,,0.4169,0.027
05041,Desha,,0.4983,0.0323
05043,Drew,,0.4786,0.0285
05045,Faulkner,,0.442,0.0129
05047,Franklin,,0.4261,0.0236
05049,Fulton,,0.4016,0.0189
05051,Garland,,0.4873,0.0173
05053,Grant,,0.4403,0.0417
05055,Greene,,0.4288,0.0161
05057,Hempstead,,0.4608,0.0326
05059,Hot Spring,,0.4357,0.0313
05061,Howard,,0.4984,0.0421
05063,Independence,,0.4581,0.0248
05065,Izard,,0.4311,0.0233
05067,Jackson,,0.4984,0.0384
05069,Jefferson,,0.4797,0.016
05071,Johnson,,0.4784,0.0392
05073,Lafayette,,0.5191,0.0483
05075,Lawrence,,0.4304,0.0138
05077,Lee,,0.4897,0.0282
05079,Lincoln,,0.4899,0.0328
05081,Little River,,0.4301,0.0241
05083,Logan,,0.4639,0.0194
05085,Lonoke,,0.3862,0.0095
05087,Madison,,0.4452,0.0343
05089,Marion,,0.4089,0.0233
05091,Miller,,0.4418,0.0179
05093,Mississippi,,0.4732,0.0162
05095,Monroe,,0.486,0.0285
05097,Montgomery,,0.4341,0.0248
05099,Nevada,,0.4523,0.0334
05101,Newton,,0.4359,0.0292
05103,Ouachita,,0.4693,0.0178
05105,Perry,,0.444,0.0469
05107,Phillips,,0.4979,0.0229
05109,Pike,,0.4456,0.0243
05111,Poinsett,,0.4258,0.0172
05113,Polk,,0.4523,0.0462
05115,Pope,,0.4392,0.0144
05117,Prairie,,0.4204,0.0172
05119,Pulaski,,0.4907,0.0068
05121,Randolph,,0.4477,0.0345
05123,St. Francis,,0.4579,0.0238
05125,Saline,,0.3816,0.0111
05127,Scott,,0.4272,0.031
05129,Searcy,,0.462,0.0369
05131,Sebastian,,0.4982,0.0129
05133,Sevier,,0.4088,0.0193
05135,Sharp,,0.4047,0.0176
05137,Stone,,0.4879,0.0318
05139,Union,,0.4659,0.0178
05141,Van Buren,,0.4421,0.0153
05143,Washington,,0.4955,0.0141
05145,White,,0.4742,0.0248
05147,Woodruff,,0.4932,0.0346
05149,Yell,,0.4271,0.0205
06001,Alameda,,0.4702,0.0031
01001,Autauga,,0.4227,0.0175
01003,Baldwin,,0.4564,0.0108
01005,Barbour,,0.4642,0.015
17059,Gallatin,,0.4128,0.0173
17061,Greene,,0.4272,0.0205
17063,Grundy,,0.4053,0.0114
17065,Hamilton,,0.4367,0.0213
17067,Hancock,,0.4033,0.0147
17069,Hardin,,0.4692,0.0476
17071,Henderson,,0.4091,0.0423
17073,Henry,,0.4175,0.0137
17075,Iroquois,,0.4339,0.0141
17077,Jackson,,0.5332,0.0182
17079,Jasper,,0.3871,0.0245
17081,Jefferson,,0.4483,0.014
17083,Jersey,,0.3981,0.0212
17085,Jo Daviess,,0.4322,0.0249
17087,Johnson,,0.4453,0.0216
17089,Kane,,0.4382,0.007
17091,Kankakee,,0.4201,0.008
17093,Kendall,,0.3562,0.0158
17095,Knox,,0.4383,0.0111
17097,Lake,,0.4821,0.004
17099,LaSalle,,0.4258,0.0102
17101,Lawrence,,0.4085,0.0228
17103,Lee,,0.4157,0.0147
17105,Livingston,,0.4221,0.0165
