"cnty_fips","display_name","Value","theme_range"
02013,"""Aleutians East, (AK)""",125.2,"93.8 - 378.0 (645)"
02016,"""Aleutians West, (AK)""",172.2,"93.8 - 378.0 (645)"
02020,"""Anchorage, (AK)""",335.9,"93.8 - 378.0 (645)"
02050,"""Bethel, (AK)""",477.9,"473.9 - 541.2 (647)"
02060,"""Bristol Bay, (AK)""",-1,
02068,"""Denali, (AK)""",330.1,"93.8 - 378.0 (645)"
02070,"""Dillingham, (AK)""",521.8,"473.9 - 541.2 (647)"
02090,"""Fairbanks North Star, (AK)""",404.9,"378.1 - 427.2 (645)"
02100,"""Haines, (AK)""",333.3,"93.8 - 378.0 (645)"
02105,"""Hoonah-Angoon, (AK)""",352.3,"93.8 - 378.0 (645)"
02110,"""Juneau, (AK)""",339.8,"93.8 - 378.0 (645)"
02122,"""Kenai Peninsula, (AK)""",379.8,"378.1 - 427.2 (645)"
02130,"""Ketchikan Gateway, (AK)""",354.9,"93.8 - 378.0 (645)"
02150,"""Kodiak Island, (AK)""",362.7,"93.8 - 378.0 (645)"
02164,"""Lake and Peninsula, (AK)""",428.1,"427.3 - 473.8 (643)"
02170,"""Matanuska-Susitna, (AK)""",330.8,"93.8 - 378.0 (645)"
02180,"""Nome, (AK)""",609.2,"541.3 - 1028.0 (641)"
02185,"""North Slope, (AK)""",460.5,"427.3 - 473.8 (643)"
02188,"""Northwest Arctic, (AK)""",546.4,"541.3 - 1028.0 (641)"
02195,"""Petersburg, (AK)""",383.2,"378.1 - 427.2 (645)"
02198,"""Prince of Wales-Hyder, (AK)""",428.6,"427.3 - 473.8 (643)"
02220,"""Sitka, (AK)""",378.1,"378.1 - 427.2 (645)"
02230,"""Skagway, (AK)""",210.5,"93.8 - 378.0 (645)"
02240,"""Southeast Fairbanks, (AK)""",370,"93.8 - 378.0 (645)"
02261,"""Valdez-Cordova, (AK)""",341.6,"93.8 - 378.0 (645)"
02158,"""Kusilvak, (AK)""",98.4,"93.8 - 378.0 (645)"
02275,"""Wrangell, (AK)""",352.6,"93.8 - 378.0 (645)"
02282,"""Yakutat, (AK)""",-1,
02290,"""Yukon-Koyukuk, (AK)""",365,"93.8 - 378.0 (645)"
06001,"""Alameda, (CA)""",333.4,"93.8 - 378.0 (645)"
06005,"""Amador, (CA)""",394.2,"378.1 - 427.2 (645)"
06007,"""Butte, (CA)""",455.9,"427.3 - 473.8 (643)"
06009,"""Calaveras, (CA)""",390.1,"378.1 - 427.2 (645)"
06011,"""Colusa, (CA)""",403.1,"378.1 - 427.2 (645)"
06013,"""Contra Costa, (CA)""",328.8,"93.8 - 378.0 (645)"
06015,"""Del Norte, (CA)""",414.6,"378.1 - 427.2 (645)"
06017,"""El Dorado, (CA)""",338.7,"93.8 - 378.0 (645)"
06021,"""Glenn, (CA)""",470.9,"427.3 - 473.8 (643)"
06023,"""Humboldt, (CA)""",498.9,"473.9 - 541.2 (647)"
06031,"""Kings, (CA)""",439.7,"427.3 - 473.8 (643)"
